cui,umls_concept,entity_norm
C0334133,Chronic fibrosis,chronic fibrosis
C1269955,Tumor Cell Invasion,tumor cell invasion
C1267092,Smooth muscle (tissue),smooth muscle tissue
C0969670,Non-Fibrillar Collagens,nonfibrillar collagens
C0016055,Fibronectins,fibronectins
C0178695,hyaluronate,hyaluronate
C0022984,Laminin,laminin
C2983697,Arm Recoil Test,arm recoil test
C0237834,Resistance (Psychotherapeutic),resistance psychotherapeutic
C0024069,Lubrication,lubrication
C0013879,Elements,elements
C0994334,triple helix (molecular structure),triple helix molecular structure
C0020276,Hydrogen Bonding,hydrogen bonding
C0005931,Bone and Bones,bone and bones
C0039508,Tendon structure,tendon structure
C0007301,Cartilage,cartilage
C0005847,Blood Vessel,blood vessel
C0444099,Skin Specimen,skin specimen
C1017315,Helice,helice
C0037473,sodium,sodium
C0331858,Matrix Pharmaceutical Inc.,matrix pharmaceutical inc
C0003968,ascorbic acid,ascorbic acid
C0241052,skeletal deformity,skeletal deformity
C0009333,Collagen Type IV,collagen type iv
C0009334,Collagen Type IX,collagen type ix
C0009337,Collagen Type VII,collagen type vii
C0230899,Elastic Fibers,elastic fibers
C0024796,Marfan Syndrome,marfan syndrome
C0060321,fibrillin,fibrillin
C0205250,High,high
C0022563,Keratan Sulfate,keratan sulfate
C0008466,chondroitin sulfates,chondroitin sulfates
C0017973,Glycosaminoglycans,glycosaminoglycans
C0042706,Viral Core Proteins,viral core proteins
C0300500,adhesion receptor,adhesion receptor
C0031727,Phosphotransferases,phosphotransferases
C0680022,member,member
C0282651,Selectins,selectins
C1621636,TOR signaling,tor signaling
C0020507,Hyperplasia,hyperplasia
C3820815,cell quiescence,cell quiescence
C0598312,DNA Replication,dna replication
C0015499,Hereditary Factor V Deficiency,hereditary factor v deficiency
C0225828,"Myocytes, Cardiac",myocytes cardiac
C1516334,Cell Cycle Progression,cell cycle progression
C0079183,Cyclins,cyclins
C0733511,Medical Surveillance,medical surveillance
C1517340,G1/S Transition Checkpoint,g1s transition checkpoint
C0205616,Moderately differentiated (qualifier value),moderately differentiated qualifier value
C1155874,Cell Cycle Checkpoints,cell cycle checkpoints
C0231337,Senility,senility
C0243045,Cyclin-Dependent Kinases,cyclindependent kinases
C0206454,Growth Factor Receptors,growth factor receptors
C0872372,Totipotent Stem Cells,totipotent stem cells
C0246957,Cyclin-Dependent Kinase 4,cyclindependent kinase 4
C0079471,HRAS gene,hras gene
C0598086,p27 Cell Cycle Protein,p27 cell cycle protein
C1366618,CDKN1C gene,cdkn1c gene
C1171322,Adult Stem Cells,adult stem cells
C0038250,Stem cells,stem cells
C1155711,Stem Cell Self-Renewal,stem cell selfrenewal
C1155692,Asymmetric Cell Division,asymmetric cell division
C0011011,Daughter,daughter
C3893683,symmetric cell division,symmetric cell division
C0032659,geographic population,geographic population
C0596508,Embryonic Stem Cells,embryonic stem cells
C0007584,Cell Count,cell count
C0036576,Genetic Selection,genetic selection
C0376515,BCL2 gene,bcl2 gene
C0014406,Environment,environment
C0005953,Bone Marrow,bone marrow
C0018956,Hematopoietic stem cells,hematopoietic stem cells
C0598800,Pericytes,pericytes
C1948047,Soluble (qualifier),soluble qualifier
C0017189,Gastrointestinal tract structure,gastrointestinal tract structure
C0009392,Colony-Stimulating Factors,colonystimulating factors
C0013216,Pharmacotherapy,pharmacotherapy
C0205307,Normal,normal
C0002895,"Anemia, Sickle Cell",anemia sickle cell
C0043544,Structure of zygote,structure of zygote
C0872076,Pluripotent Stem Cells,pluripotent stem cells
C0001527,Adipose tissue,adipose tissue
C0162597,Stromal Cells,stromal cells
C0205615,Well Differentiated,well differentiated
C0087111,Therapeutic procedure,therapeutic procedure
C0010957,Tissue damage,tissue damage
C0027061,Myocardium,myocardium
C1299586,Has difficulty doing (qualifier value),has difficulty doing qualifier value
C2717959,Induced Pluripotent Stem Cells,induced pluripotent stem cells
C0030281,Structure of beta Cell of islet,structure of beta cell of islet
C0441472,Clinical action,clinical action
C5574752,Cell Biology,cell biology
C1158770,Transcriptional Regulation,transcriptional regulation
C1705051,Human Genome Organization,human genome organization
C2936263,Epigenomics,epigenomics
C1655731,study of epigenetics,study of epigenetics
C0205100,Peripheral,peripheral
C0007582,Cell Communication,cell communication
C2244223,cellular homeostasis,cellular homeostasis
C0003737,Architecture,architecture
C3826603,Cell metabolism,cell metabolism
C1326316,mitochondrial DNA replication,mitochondrial dna replication
C0037080,Signal Pathways,signal pathways
C0015127,Etiology aspects,etiology aspects
C0314657,Genetic Predisposition to Disease,genetic predisposition to disease
C0699748,Pathogenesis,pathogenesis
C0334866,Medical pathologist,medical pathologist
C4054467,Morphologic Complete Response,morphologic complete response
C0449430,Physiological Stress,physiological stress
C0032101,"Plants, Toxic",plants toxic
C0000934,Acclimatization,acclimatization
C2698977,Capability,capability
C0020488,Hypernatremia,hypernatremia
C0205082,Severe (severity modifier),severe severity modifier
C0021027,Immunoglobulins,immunoglobulins
C1552857,chapter,chapter
C2609414,Acute kidney injury,acute kidney injury
C0234402,Stimulus,stimulus
C0037176,Single-Gene Defects,singlegene defects
C0264995,Occlusion of artery (disorder),occlusion of artery disorder
C0005767,Blood,blood
C1516240,Capacity,capacity
C3245505,Potential,potential
C0013227,Pharmaceutical Preparations,pharmaceutical preparations
C0439861,Substance,substance
C0020962,Immune system,immune system
C0020947,Immune Adherence Reaction,immune adherence reaction
C0443146,Autoimmune reaction,autoimmune reaction
C0020517,Hypersensitivity,hypersensitivity
C0019080,Hemorrhage,hemorrhage
C0029434,Osteogenesis Imperfecta,osteogenesis imperfecta
C0013720,Ehlers-Danlos Syndrome,ehlersdanlos syndrome
C1301886,Diameter (qualifier value),diameter qualifier value
C0150775,Social Networks,social networks
C4021790,Abnormality of the skeletal system,abnormality of the skeletal system
C1762617,Weak,weak
C0470187,Availability of,availability of
C0441722,Force,force
C0007447,Cations,cations
C0001511,Tissue Adhesions,tissue adhesions
disulfide-linked dimer,disulfide-linked dimer,disulfidelinked dimer
C0596790,interstitial,interstitial
C0124761,Ku autoantigen,ku autoantigen
C0026473,Monocytes,monocytes
C0015982,Fibrin,fibrin
C0019134,heparin,heparin
C0333562,Deposition,deposition
C1317977,Epithelial metaplasia,epithelial metaplasia
C0599220,Protein Subunits,protein subunits
C0032176,Platelet aggregation,platelet aggregation
C0152060,Transection (procedure),transection procedure
C0079395,G1 Phase,g1 phase
C0080129,S Phase,s phase
C0007591,Cell division phases,cell division phases
C0079394,"Resting Phase, Cell Cycle",resting phase cell cycle
C0018790,Cardiac Arrest,cardiac arrest
C1514485,Proliferation,proliferation
C0040627,Trans-Activators,transactivators
C0012860,DNA Damage,dna damage
C0919418,Cyclin-Dependent Kinase Inhibitor Proteins,cyclindependent kinase inhibitor proteins
C0439064,Numerous,numerous
C0287850,"S100A4 protein, human",s100a4 protein human
C0232902,migrated,migrated
C0871161,Property (attribute),property attribute
C0019868,Homeostasis,homeostasis
C1516345,Cell Differentiation or Development Pathway,cell differentiation or development pathway
C0205618,Undifferentiated,undifferentiated
C0038435,Stress,stress
C0553580,Ewings sarcoma,ewings sarcoma
C1519561,Totipotent,totipotent
C0231448,Extension,extension
C0392756,Reduced,reduced
C0022131,Islets of Langerhans,islets of langerhans
C0449913,System,system
C0178784,Organ,organ
C0017446,Geographic Locations,geographic locations
C1281722,Limbus of cochlear duct (body structure),limbus of cochlear duct body structure
C0227427,Structure of anal sinus,structure of anal sinus
C0023884,Liver,liver
C0006104,Brain,brain
C1709634,Precursor,precursor
C0031227,Personnel Turnover,personnel turnover
C0556984,Three times daily,three times daily
C0229664,peripheral blood,peripheral blood
C0333668,Depletion,depletion
C0023418,leukemia,leukemia
C0005773,Blood Cells,blood cells
C0003507,Aortic Valve Stenosis,aortic valve stenosis
C0013935,Embryo,embryo
C0021135,In Vitro [Publication Type],in vitro publication type
C0018494,Hair,hair
C3854181,Nevus sebaceous,nevus sebaceous
C0014520,Epidermis,epidermis
C0178499,Base,base
C0227276,Paneth Cells,paneth cells
C0005388,Bile fluid,bile fluid
C1136335,Multipotent Stem Cells,multipotent stem cells
C1257974,Regenerative Medicine,regenerative medicine
C0035139,Surgical Replantation,surgical replantation
C0027051,Myocardial Infarction,myocardial infarction
C0038454,Cerebrovascular accident,cerebrovascular accident
C1272745,Improving (qualifier value),improving qualifier value
C0030705,Patients,patients
C0205396,Identified,identified
C1257909,Diploid Cell,diploid cell
C3146294,Generation (action),generation action
C0282637,Cell Lineage,cell lineage
C0027765,nervous system disorder,nervous system disorder
C1156185,nucleus organization,nucleus organization
C1516511,Chromatin Structure,chromatin structure
C0020951,Immune Complex Diseases,immune complex diseases
C0162534,Prion Diseases,prion diseases
C0205463,Physiological,physiological
C0029237,Physiologic Organization,physiologic organization
C0029246,Organization administrative structures,organization administrative structures
C1523867,intracellular organelle,intracellular organelle
C0376706,Mechanics,mechanics
C4505258,Proteostasis,proteostasis
C0686907,Consequence of,consequence of
C0026528,Moral Obligations,moral obligations
C0870705,control act - information,control act information
C0814812,overview,overview
C3548493,mitochondrial outer membrane permeabilization,mitochondrial outer membrane permeabilization
C3271765,collagen-activated signaling pathway,collagenactivated signaling pathway
C0678558,Plasticity,plasticity
C4042875,Cell Plasticity,cell plasticity
C0220912,Aspects of signs,aspects of signs
C0020538,Hypertensive disease,hypertensive disease
C0011847,Diabetes,diabetes
C0005941,"Bone Diseases, Developmental",bone diseases developmental
C0039798,therapeutic aspects,therapeutic aspects
C0205343,Reversible,reversible
C0851162,Infections of musculoskeletal system,infections of musculoskeletal system
C0040549,Toxin,toxin
C0733755,Positioning Attribute,positioning attribute
C0007581,Cellular Senescence,cellular senescence
C4277654,"Microtrauma, Physical",microtrauma physical
C0243163,supply aspects,supply aspects
C0678695,Nutrients,nutrients
C0002871,Anemia,anemia
C0007018,carbon monoxide,carbon monoxide
C0001869,Air Pollutants,air pollutants
C0021576,Insecticides,insecticides
C0003947,Asbestos,asbestos
C0239059,Cigarette smoke (substance),cigarette smoke substance
C0001962,ethanol,ethanol
C4552279,Tissue injury,tissue injury
C0600688,Toxic effect,toxic effect
C0036140,Salts,salts
C0042776,Virus,virus
C0004611,Bacteria,bacteria
C0016832,Fungi,fungi
C0033739,Protozoa,protozoa
C0450254,Pathogenic organism,pathogenic organism
C0008625,Chromosome Aberrations,chromosome aberrations
C0525038,Amino Acid Substitution,amino acid substitution
C5554615,MET Gene Alteration Positive,met gene alteration positive
C0815043,"Protein, Organized by Function",protein organized by function
C0042842,Vitamin A Deficiency,vitamin a deficiency
C0043251,Wounds and Injuries,wounds and injuries
C0034519,Electromagnetic Radiation,electromagnetic radiation
C0013781,Shock from electric current,shock from electric current
C0001811,Aging,aging
C0152254,Fatty degeneration,fatty degeneration
C0991568,Drops - Drug Form,drops drug form
C0014457,Eosinophilia,eosinophilia
C0456205,Contents,contents
C0035553,Ribosomes,ribosomes
C0032592,Polyribosomes,polyribosomes
C0020564,Hypertrophy,hypertrophy
C0004745,Barbiturates,barbiturates
C0027310,NADPH-Ferrihemoprotein Reductase,nadphferrihemoprotein reductase
C0441713,Chemical injury,chemical injury
C0013220,Drug Tolerance,drug tolerance
C0007022,Carbon Tetrachloride,carbon tetrachloride
C0332664,injured,injured
C3546453,accidental cell death,accidental cell death
C3546446,Regulated Cell Death,regulated cell death
C0853813,Local Reaction,local reaction
C0023516,Leukocytes,leukocytes
C1096176,Mitochondrial Damage,mitochondrial damage
C1159823,apoptotic nuclear changes,apoptotic nuclear changes
C0333904,Karyopyknosis,karyopyknosis
C0702266,Basophilia,basophilia
C1522058,Coagulative necrosis,coagulative necrosis
C3887644,Inflammatory infiltrate,inflammatory infiltrate
C0549177,Large,large
C0439751,Entire,entire
C0449774,Patterns,patterns
C0333513,Fibrinoid necrosis,fibrinoid necrosis
C4055264,Cellular Debris,cellular debris
C0751982,Neutrophil Infiltration,neutrophil infiltration
C0021308,Infarction,infarction
C0333509,Liquefactive necrosis,liquefactive necrosis
C0311419,viscous,viscous
C0333361,Acute inflammation,acute inflammation
C0004623,Bacterial Infections,bacterial infections
C0034161,Pus,pus
C0015385,Limb structure,limb structure
C0333512,Caseous necrosis,caseous necrosis
C0205234,Focal,focal
C0596083,amorphous solid,amorphous solid
C0041327,"Tuberculosis, Pulmonary",tuberculosis pulmonary
C0018188,Granuloma,granuloma
C0015668,Fat necrosis,fat necrosis
C0001339,"Pancreatitis, Acute",pancreatitis acute
C0920330,Pancreatic enzyme,pancreatic enzyme
C0023764,lipase,lipase
C0205195,Combined,combined
C0003842,Arteries,arteries
C0032120,Plasma Proteins,plasma proteins
C0031036,Polyarteritis Nodosa,polyarteritis nodosa
C1519517,Tissue-Specific Splicing,tissuespecific splicing
C1711208,Bile Duct Epithelium,bile duct epithelium
C3269134,Apoptotic Bodies,apoptotic bodies
C4053778,Focus of Cellular Alteration,focus of cellular alteration
C0024264,Lymphocyte,lymphocyte
C0226890,Structure of intestinal epithelium,structure of intestinal epithelium
C0040112,thymus extracts,thymus extracts
C0304497,Cytotoxic agent (product),cytotoxic agent product
C0314732,Infectious agent,infectious agent
C0243123,biochemical pathways aspect,biochemical pathways aspect
C0010656,caspase,caspase
C2717970,Cysteine Proteases,cysteine proteases
C1658974,mitochondria-nucleus signaling pathway,mitochondrianucleus signaling pathway
C1720947,"Receptors, Death Domain",receptors death domain
C0010749,Cytochromes c,cytochromes c
C0015923,Fetal Alcohol Syndrome,fetal alcohol syndrome
C0077503,Tumor Necrosis Factor Receptor,tumor necrosis factor receptor
C0016693,Free Radicals,free radicals
C1332397,BCL2L1 gene,bcl2l1 gene
C0812198,BAX gene,bax gene
C0574198,Bashkir language,bashkir language
C1511012,BH3 Domain,bh3 domain
C1159825,Caspase Activation,caspase activation
C4313872,Nuclear fragmentation,nuclear fragmentation
C0242821,Human body,human body
C1824510,RTL10 gene,rtl10 gene
C4543203,Effector (disposition),effector disposition
C0015376,Extravasation,extravasation
C4727027,BCL-2 Family Protein,bcl2 family protein
C0183210,sensor (device),sensor device
C0178555,chemical cofactor,chemical cofactor
C1336652,TNF Receptor Family Gene,tnf receptor family gene
C1511738,Death Domain (sequence),death domain sequence
C0253023,Tumor Necrosis Factor Ligand Superfamily Member 6,tumor necrosis factor ligand superfamily member 6
